Index,IsDeveloped,Name,RoleIndex,RoleName,Health,DamageType,Damage,MultiHitCount,AttackType,AttackSpeed,Range,Armor,MagicArmor,MoveSpeed_X,MoveSpeed_Y,CriticalChance,CriticalRatio,MaxTraitCount,FixTraitType,Animation
1,1,Tank,0,탱커,300,Physical,20,1,Melee,1,50,1,1,3,1.5,2000,10000,3,0,Warrior
2,1,Magi,1,전사,100,Magical,20,3,Projectile:Projectile_Wizzard,1,250,0,0,3,1.5,2000,10000,3,0,Wizzard
3,0,Warr,2,마법사,200,True,20,1,Melee,1,50,0,0,3,1.5,2000,10000,3,0,Warrior
4,1,단답벌레,3,암살자,500,Physical,30,1,Melee,1,50,0,0,4,2,6000,15000,3,0,Warrior
5,1,시리안 레인,4,궁수,750,Physical,20,1,Projectile:Projectile_Wizzard,1,250,0,0,3,1.5,5000,20000,3,0,Wizzard
6,1,진희,0,탱커,1000,Physical,10,1,Melee,1,50,5,5,2,1,2000,10000,3,0,Warrior
7,0,Sup,5,서포터,300,True,20,1,Melee,1,250,0,0,3,1.5,2000,10000,3,0,Wizzard
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
